tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0001 event=food_initialized result=class:low,position:43:60,territory:A
tick=0 subject=F0002 event=food_initialized result=class:medium,position:104:63,territory:A
tick=0 subject=F0003 event=food_initialized result=class:high,position:50:16,territory:A
tick=0 subject=F0004 event=food_initialized result=class:low,position:30:49,territory:A
tick=0 subject=F0005 event=food_initialized result=class:medium,position:101:13,territory:A
tick=0 subject=F0006 event=food_initialized result=class:high,position:21:28,territory:A
tick=0 subject=F0007 event=food_initialized result=class:low,position:104:46,territory:A
tick=0 subject=F0008 event=food_initialized result=class:medium,position:63:56,territory:A
tick=0 subject=F0009 event=food_initialized result=class:high,position:50:40,territory:A
tick=0 subject=F0010 event=food_initialized result=class:low,position:121:8,territory:A
tick=0 subject=F0011 event=food_initialized result=class:medium,position:42:0,territory:A
tick=0 subject=F0012 event=food_initialized result=class:high,position:64:49,territory:A
tick=0 subject=F0013 event=food_initialized result=class:low,position:7:31,territory:A
tick=0 subject=F0014 event=food_initialized result=class:medium,position:103:32,territory:A
tick=0 subject=F0015 event=food_initialized result=class:high,position:52:32,territory:A
tick=0 subject=F0016 event=food_initialized result=class:low,position:43:17,territory:A
tick=0 subject=F0017 event=food_initialized result=class:medium,position:19:9,territory:A
tick=0 subject=F0018 event=food_initialized result=class:high,position:63:12,territory:A
tick=0 subject=F0019 event=food_initialized result=class:low,position:52:60,territory:A
tick=0 subject=F0020 event=food_initialized result=class:medium,position:59:10,territory:A
tick=0 subject=F0021 event=food_initialized result=class:high,position:3:45,territory:A
tick=0 subject=F0022 event=food_initialized result=class:low,position:74:44,territory:A
tick=0 subject=F0023 event=food_initialized result=class:medium,position:124:23,territory:A
tick=0 subject=F0024 event=food_initialized result=class:high,position:26:59,territory:A
tick=0 subject=F0025 event=food_initialized result=class:low,position:6:32,territory:A
tick=0 subject=F0026 event=food_initialized result=class:medium,position:16:18,territory:A
tick=0 subject=F0027 event=food_initialized result=class:high,position:92:61,territory:A
tick=0 subject=F0028 event=food_initialized result=class:low,position:63:5,territory:A
tick=0 subject=F0029 event=food_initialized result=class:medium,position:33:37,territory:A
tick=0 subject=F0030 event=food_initialized result=class:high,position:120:39,territory:A
tick=0 subject=F0031 event=food_initialized result=class:low,position:60:0,territory:A
tick=0 subject=F0032 event=food_initialized result=class:medium,position:41:33,territory:A
tick=0 subject=F0033 event=food_initialized result=class:high,position:41:48,territory:A
tick=0 subject=F0034 event=food_initialized result=class:low,position:49:39,territory:A
tick=0 subject=F0035 event=food_initialized result=class:medium,position:36:13,territory:A
tick=0 subject=F0036 event=food_initialized result=class:high,position:12:14,territory:A
tick=0 subject=F0037 event=food_initialized result=class:low,position:69:29,territory:A
tick=0 subject=F0038 event=food_initialized result=class:medium,position:11:15,territory:A
tick=0 subject=F0039 event=food_initialized result=class:high,position:14:1,territory:A
tick=0 subject=F0040 event=food_initialized result=class:low,position:118:4,territory:A
tick=0 subject=F0041 event=food_initialized result=class:medium,position:103:37,territory:A
tick=0 subject=F0042 event=food_initialized result=class:high,position:59:47,territory:A
tick=0 subject=F0043 event=food_initialized result=class:low,position:91:12,territory:A
tick=0 subject=F0044 event=food_initialized result=class:medium,position:55:46,territory:A
tick=0 subject=F0045 event=food_initialized result=class:high,position:94:18,territory:A
tick=0 subject=F0046 event=food_initialized result=class:low,position:84:49,territory:A
tick=0 subject=F0047 event=food_initialized result=class:medium,position:116:50,territory:A
tick=0 subject=F0048 event=food_initialized result=class:high,position:53:31,territory:A
tick=0 subject=F0049 event=food_initialized result=class:low,position:125:47,territory:A
tick=0 subject=F0050 event=food_initialized result=class:medium,position:6:28,territory:A
tick=0 subject=F0051 event=food_initialized result=class:high,position:90:10,territory:A
tick=0 subject=F0052 event=food_initialized result=class:low,position:21:31,territory:A
tick=0 subject=F0053 event=food_initialized result=class:medium,position:0:18,territory:A
tick=0 subject=F0054 event=food_initialized result=class:high,position:97:25,territory:A
tick=0 subject=F0055 event=food_initialized result=class:low,position:68:0,territory:A
tick=0 subject=F0056 event=food_initialized result=class:medium,position:26:16,territory:A
tick=0 subject=F0057 event=food_initialized result=class:high,position:79:34,territory:A
tick=0 subject=F0058 event=food_initialized result=class:low,position:21:17,territory:A
tick=0 subject=F0059 event=food_initialized result=class:medium,position:9:60,territory:A
tick=0 subject=F0060 event=food_initialized result=class:high,position:11:12,territory:A
tick=0 subject=F0061 event=food_initialized result=class:low,position:50:20,territory:A
tick=0 subject=F0062 event=food_initialized result=class:low,position:40:71,territory:B
tick=0 subject=F0063 event=food_initialized result=class:medium,position:46:98,territory:B
tick=0 subject=F0064 event=food_initialized result=class:high,position:94:88,territory:B
tick=0 subject=F0065 event=food_initialized result=class:low,position:33:85,territory:B
tick=0 subject=F0066 event=food_initialized result=class:medium,position:127:86,territory:B
tick=0 subject=F0067 event=food_initialized result=class:high,position:5:121,territory:B
tick=0 subject=F0068 event=food_initialized result=class:low,position:109:97,territory:B
tick=0 subject=F0069 event=food_initialized result=class:medium,position:32:82,territory:B
tick=0 subject=F0070 event=food_initialized result=class:high,position:111:66,territory:B
tick=0 subject=F0071 event=food_initialized result=class:low,position:29:69,territory:B
tick=0 subject=F0072 event=food_initialized result=class:medium,position:53:122,territory:B
tick=0 subject=F0073 event=food_initialized result=class:high,position:44:123,territory:B
tick=0 subject=F0074 event=food_initialized result=class:low,position:69:89,territory:B
tick=0 subject=F0075 event=food_initialized result=class:medium,position:20:84,territory:B
tick=0 subject=F0076 event=food_initialized result=class:high,position:29:90,territory:B
tick=0 subject=F0077 event=food_initialized result=class:low,position:104:96,territory:B
tick=0 subject=F0078 event=food_initialized result=class:medium,position:69:71,territory:B
tick=0 subject=F0079 event=food_initialized result=class:high,position:2:125,territory:B
tick=0 subject=F0080 event=food_initialized result=class:low,position:48:69,territory:B
tick=0 subject=F0081 event=food_initialized result=class:medium,position:28:122,territory:B
tick=0 subject=F0082 event=food_initialized result=class:high,position:117:100,territory:B
tick=0 subject=F0083 event=food_initialized result=class:low,position:70:115,territory:B
tick=0 subject=F0084 event=food_initialized result=class:medium,position:5:119,territory:B
tick=0 subject=F0085 event=food_initialized result=class:high,position:16:89,territory:B
tick=0 subject=F0086 event=food_initialized result=class:low,position:8:99,territory:B
tick=0 subject=F0087 event=food_initialized result=class:medium,position:32:79,territory:B
tick=0 subject=F0088 event=food_initialized result=class:high,position:122:74,territory:B
tick=0 subject=F0089 event=food_initialized result=class:low,position:13:71,territory:B
tick=0 subject=F0090 event=food_initialized result=class:medium,position:88:70,territory:B
tick=0 subject=F0091 event=food_initialized result=class:high,position:119:66,territory:B
tick=0 subject=F0092 event=food_initialized result=class:low,position:11:93,territory:B
tick=0 subject=F0093 event=food_initialized result=class:medium,position:70:125,territory:B
tick=0 subject=F0094 event=food_initialized result=class:high,position:34:124,territory:B
tick=0 subject=F0095 event=food_initialized result=class:low,position:84:65,territory:B
tick=0 subject=F0096 event=food_initialized result=class:medium,position:102:109,territory:B
tick=0 subject=F0097 event=food_initialized result=class:high,position:125:113,territory:B
tick=0 subject=F0098 event=food_initialized result=class:low,position:74:121,territory:B
tick=0 subject=F0099 event=food_initialized result=class:medium,position:100:92,territory:B
tick=0 subject=F0100 event=food_initialized result=class:high,position:17:93,territory:B
tick=0 subject=F0101 event=food_initialized result=class:low,position:16:84,territory:B
tick=0 subject=F0102 event=food_initialized result=class:medium,position:31:94,territory:B
tick=0 subject=F0103 event=food_initialized result=class:high,position:37:95,territory:B
tick=0 subject=F0104 event=food_initialized result=class:low,position:35:64,territory:B
tick=0 subject=F0105 event=food_initialized result=class:medium,position:52:76,territory:B
tick=0 subject=F0106 event=food_initialized result=class:high,position:100:65,territory:B
tick=0 subject=F0107 event=food_initialized result=class:low,position:111:114,territory:B
tick=0 subject=F0108 event=food_initialized result=class:medium,position:75:94,territory:B
tick=0 subject=F0109 event=food_initialized result=class:high,position:21:76,territory:B
tick=0 subject=F0110 event=food_initialized result=class:low,position:8:68,territory:B
tick=0 subject=F0111 event=food_initialized result=class:medium,position:120:72,territory:B
tick=0 subject=F0112 event=food_initialized result=class:high,position:36:94,territory:B
tick=0 subject=F0113 event=food_initialized result=class:low,position:80:113,territory:B
tick=0 subject=F0114 event=food_initialized result=class:medium,position:58:67,territory:B
tick=0 subject=F0115 event=food_initialized result=class:high,position:13:96,territory:B
tick=0 subject=F0116 event=food_initialized result=class:low,position:106:70,territory:B
tick=0 subject=F0117 event=food_initialized result=class:medium,position:77:93,territory:B
tick=0 subject=F0118 event=food_initialized result=class:high,position:39:88,territory:B
tick=0 subject=F0119 event=food_initialized result=class:low,position:37:78,territory:B
tick=0 subject=F0120 event=food_initialized result=class:medium,position:15:107,territory:B
tick=0 subject=F0121 event=food_initialized result=class:high,position:5:107,territory:B
tick=0 subject=F0122 event=food_initialized result=class:low,position:93:104,territory:B
tick=0 subject=M01 event=agent_initialized result=position:120:51,territory:A,health:100,satiety:100,energy:100
tick=0 subject=M02 event=agent_initialized result=position:86:38,territory:A,health:100,satiety:100,energy:100
tick=0 subject=M03 event=agent_initialized result=position:127:42,territory:A,health:100,satiety:100,energy:100
tick=0 subject=M04 event=agent_initialized result=position:111:53,territory:A,health:100,satiety:100,energy:100
tick=0 subject=M05 event=agent_initialized result=position:7:19,territory:A,health:100,satiety:100,energy:100
tick=0 subject=M06 event=agent_initialized result=position:106:55,territory:A,health:100,satiety:100,energy:100
tick=0 subject=M07 event=agent_initialized result=position:11:95,territory:B,health:100,satiety:100,energy:100
tick=0 subject=M08 event=agent_initialized result=position:107:111,territory:B,health:100,satiety:100,energy:100
tick=0 subject=M09 event=agent_initialized result=position:111:111,territory:B,health:100,satiety:100,energy:100
tick=0 subject=M10 event=agent_initialized result=position:104:102,territory:B,health:100,satiety:100,energy:100
tick=0 subject=M11 event=agent_initialized result=position:102:103,territory:B,health:100,satiety:100,energy:100
tick=0 subject=M12 event=agent_initialized result=position:119:106,territory:B,health:100,satiety:100,energy:100
